Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
React with Test Driven Development,"Learn React by applying test driven development ( incl. react router, redux, jest, testing-library/react )",https://www.udemy.com/course/react-with-test-driven-development/,Basar Buyukkahraman,4.9,24.0,15.0,88,All Levels,351.0,Paid,649
HTML5 and CSS3 Bootcamp 2021,Learn Responsive Web Development in HTML5 and CSS3 in 2021. Everything explained in great details!,https://www.udemy.com/course/responsive-web-design-start-to-finish/,"Usman Raoof, Fahad Chaudhry",3.6,24.0,2.0,16,All Levels,169.0,Paid,649
Java Server Faces 2.2 ( JSF ) with Theory and Practice,Learn the most important component of Java EE stack. ,https://www.udemy.com/course/java-server-faces/,Talha Ocakçı,3.6,24.0,2.5,19,Intermediate,158.0,Paid,599
"Web Visualization with HTML5, CSS3, and JavaScript ","Become an ace at creating stunning web designs and animations using HTML5, CSS3, and JavaScript",https://www.udemy.com/course/web-visualization-with-html5-css3-and-javascript/,Packt Publishing,4.1,24.0,2.5,26,Beginner,247.0,Paid,749
Learning Electron: Build Desktop Apps using JS+HTML+CSS,"Mastering electron fundamentals: ipc module, basics, menus, browserWindows and much more!",https://www.udemy.com/course/learning-electron/,Haider Malik,3.6,24.0,6.0,75,Beginner,4138.0,Paid,649
The Ultimate YAML Course - Learn YAML from Scratch,"YAML tutorial for working with OpenAPI Specification, Swagger Tools, Azure DevOps, Kubernetes - the list goes on!",https://www.udemy.com/course/yaml-tutorial/,Praveenkumar Bouna,4.7,24.0,2.5,43,Beginner,213.0,Paid,649
"Java, PHP and MySQL Bundle","Learn and master backend languages such Java, Php and Mysql",https://www.udemy.com/course/java-php-and-mysql-bundle/,Harshit Srivastava,3.6,24.0,6.5,54,All Levels,2794.0,Paid,599
Servicenow ITOM -Discovery,Servicenow Discovery Training.Use code :NEWDAY to get discounts.,https://www.udemy.com/course/servicenowdiscovery/,Snow Caterers,3.6,24.0,3.5,5,Beginner,79.0,Paid,1290
Learn to Build a Shopping Cart using NodeJS,Create a Node JS based Ecommerce Website,https://www.udemy.com/course/learn-to-build-a-shopping-cart-using-nodejs/,Eduonix Learning Solutions,4.4,24.0,2.0,11,Beginner,183.0,Paid,649
C# Cross-Platform Tricks: Run ASP.NET Applications On Linux,This course will teach you how to get your ASP.NET web applications up and running on a Linux system,https://www.udemy.com/course/csharp-cross-platform-tricks-run-aspnet-applications-on-linux/,Mark Farragher,4.0,23.0,4.5,34,All Levels,380.0,Paid,649
Complete React Bootcamp (Advanced) Build 6 Hands-On-Projects,"Learn React Advanced Concepts like React-Hooks , Routing , Context API , HTTP Methods , Connecting With Node JS",https://www.udemy.com/course/react-bootcamp-build-12-hands-on-projects-with-source-code/,K.Sathyaprakash Reddy,3.9,23.0,8.0,48,Intermediate,207.0,Paid,599
cPanel Complete installation and configuration,Setup a cPanel server from zero to hero (Become Master of cPanel),https://www.udemy.com/course/cpanel-complete-installation-and-configuration/,Amirhossein Garousi,4.2,23.0,3.5,18,Intermediate,162.0,Paid,649
How to Build a Registration & Login System,Leverage your PHP skills and create a slick login system.,https://www.udemy.com/course/how-to-build-a-registration-login-system-with-codeigniter/,Stone River eLearning,3.7,23.0,8.0,30,All Levels,481.0,Paid,749
Web Scraping with JavaScript & Node.js,Build your own web scraper. Fetch and process data from whatever website you want!,https://www.udemy.com/course/fetching-and-processing-data-from-websites/,Adrian Bienias,4.2,23.0,8.5,26,All Levels,204.0,Paid,599
AJAX API exercises JavaScript Trivia web application,Create a Trivia Application using JavaScript and AJAX retrieving data from various web API endpoints,https://www.udemy.com/course/ajax-api-exercises/,Laurence Svekis,4.5,23.0,1.0,18,Beginner,1812.0,Paid,749
Build Complete Blog System With Laravel 8,Learn How to Build a Complete Blog System And Complete Admin Dashboard Using Laravel 8,https://www.udemy.com/course/build-complete-blog-system-with-laravel-8/,Real Programmer,4.6,23.0,12.5,80,All Levels,204.0,Paid,649
The Complete Wordpress & e-commerce Course ( Project Based ),The complete Project based Guide to learn Wordpress and to Make your e-commerce website - The project is already hosted,https://www.udemy.com/course/the-complete-wordpress-e-commerce-course-project-based/,Yosra Lakhdhar,4.6,23.0,2.0,48,Beginner,1374.0,Paid,699
Make Multilingual WordPress sites - Translate your Website,Learn how to create multilingual sites using WordPress and how to translate your website into many languages,https://www.udemy.com/course/multilingual-wordpress/,Ahmed Mohammed Nagdy,4.2,23.0,3.0,25,All Levels,144.0,Paid,649
Java Swing (GUI) Programming:Learn by Practicing from Zero,Learn how to create desktop applications in a quick way by practicing.,https://www.udemy.com/course/java-swing-programming/,Sarkhan Rasullu,4.1,23.0,1.5,9,All Levels,2764.0,Paid,599
Fullstack GoLang React: Design to Reality 2 ( Real World ),A real world build.,https://www.udemy.com/course/fullstack-golang-react-design-to-reality-2-real-world/,Zach LaCourse,3.3,23.0,25.0,138,All Levels,11896.0,Paid,749
Full Stack Web Development using JavaScript,"Project-based learning approach on Full Stack Web Application Development using React, Node, Express and MongoDB (MERN)",https://www.udemy.com/course/full-stack-web-development-using-javascript/,Abel Choy,4.7,23.0,23.0,51,Beginner,146.0,Paid,649
Object Oriented php: build real world project using OOP,"Take your programming skills to the next level, learn to write reusable code with object oriented php",https://www.udemy.com/course/build-real-application-with-php-mysql-javascript-and-oop/,Ela Eli,4.6,23.0,5.5,52,All Levels,3100.0,Paid,599
Building Responsive Websites with HTML 5 & CSS3,Learning how to build responsive websites has never been easier!,https://www.udemy.com/course/building-responsive-websites-with-html-5-css3/,Stone River eLearning,4.7,23.0,3.5,43,All Levels,161.0,Paid,599
Hands-On MEAN Stack Web Development,"Become a MEAN Stack developer by applying MongoDB, Express, Angular, and Node.js in your web development projects",https://www.udemy.com/course/hands-on-mean-stack-web-development/,Packt Publishing,3.3,23.0,3.0,38,Intermediate,95.0,Paid,699
Build Social Networking website from Scratch,"Learn how to build a professional Social Networking Website with no coding skills, add Newsfeed and chat options on it!",https://www.udemy.com/course/social-networking-website/,Tanzeel Ur Rehman,3.6,23.0,3.5,50,All Levels,243.0,Paid,649
Advanced CSS For Web Developers,The most comprehensive program to learn and master modern CSS development,https://www.udemy.com/course/advanced-css-for-web-developers/,"Eduonix Learning Solutions, Eduonix-Tech .",4.7,23.0,10.5,105,Beginner,348.0,Paid,649
Angular 12 and .NET Core Web API Full Stack Master Course,learn to create a full stack web application from scratch using .NET Core Web API and Angular 12.,https://www.udemy.com/course/angular-12-and-net-core-web-api-full-stack-master-course/,Vinay Kumar,4.5,23.0,3.5,84,Intermediate,7669.0,Paid,649
Mastering ASP.NET 4 Using C# - Part 2,Explore ASP.NET Data Web Controls - Step By Step,https://www.udemy.com/course/masteringaspnetpart2/,Kameswara Sarma Uppuluri,4.4,23.0,10.5,81,Intermediate,226.0,Paid,649
The Complete MERN Stack development Bootcamp 2020,"Build a Full Stack Project of MERN with Node.js, Express, React and MongoDB.",https://www.udemy.com/course/the-complete-mern-stack-development-bootcamp-2020/,"Mohammed Khan, Abhishek Potula, Mohammed Khan",3.5,23.0,12.0,60,All Levels,104.0,Paid,699
Flappy Bird WIth JavaScript ( 2022 PORTFOLIO COURSE ),"Learn how to create the classical game Flappy Bird using plain html markup, css styling and vanilla javascript logic",https://www.udemy.com/course/flappy-bird-on-web-browser/,Tudor Todorescu,4.0,23.0,1.0,13,Beginner,2986.0,Paid,649
Svelte.js 3 and Sapper Projects,"Build powerful, reactive, great-looking UI web experiences with this front-end compiler and its framework.",https://www.udemy.com/course/sveltejs-3-and-sapper-projects/,Packt Publishing,4.2,23.0,5.5,33,Intermediate,168.0,Paid,649
Sublime Text 3 Editor for Developers to work like a Pro,Learn Sublime Text 3 Editor To Code Like A Pro and Generate Page layouts in minutes.,https://www.udemy.com/course/sublime-text-editor/,Rana Shahzad,2.8,23.0,1.5,6,All Levels,2588.0,Paid,799
Asp.Net Core 5.0 & Vue JS From Zero to Hero 68 Hours Content,"Learn How To Create Real Life Web Applications With ASP.NET Core 5.0 Entity Framework Mysql,MSSQL Databases and Vue.JS",https://www.udemy.com/course/aspnet-core-50-vue-js-from-zero-to-hero-68-hours-content/,"Volkan Atış, Fatih Ceritli",3.9,23.0,68.0,429,All Levels,196.0,Paid,599
Learn Complete Web Development Course Using PHP/MySQL,"Master in PHP OOPs, MYSQL, cPanel. Learn to build Real time website development.",https://www.udemy.com/course/learn-complete-web-development-course/,Funky Programmer,4.1,23.0,15.5,112,All Levels,107.0,Paid,649
"Master Mysql, Javascript, Laravel 5.8 and e-commerce project","Master Mysql, Javascript and Laravel 5.8 with building an advanced ecommerce web application",https://www.udemy.com/course/developing-an-ecommerce-web-application-with-laravel-58/,Danial Mohamadnejad,4.8,23.0,44.0,245,All Levels,173.0,Paid,649
Web Developer 101-Use Web Servers to Build Sites on your PC,"Setup your pc to start making websites on Apache & IIS Web Servers. Wordpress, Joomla Drupal, ASP.NET, NodeJS, etc..",https://www.udemy.com/course/web-developer-101-use-web-servers-to-build-sites-on-your-pc/,Brandon Price,4.6,23.0,15.5,88,All Levels,8050.0,Paid,599
Complete HTML and CSS - Web Development Essential Skills,Learn how to build modern day HTML Sites and Apps using HTML and CSS.  From Complete Beginner to Pro Web Developer!,https://www.udemy.com/course/complete-html5-css3-course-newbie-to-pro/,Brett Hargreaves,4.0,23.0,7.0,58,All Levels,1474.0,Paid,599
1 Hour Website - Build a Website in 1 Hour,"Create a Logo, Brand Kit and Responsive 1 Page Website. No coding or design skills needed",https://www.udemy.com/course/one-hour-website/,Theo Ohene,4.8,23.0,1.0,10,All Levels,1875.0,Paid,649
Basics of PHP in 2 Hours,Learn ABCs of PHP8 in this short course,https://www.udemy.com/course/basics-of-php/,Bihan Mahadewa,4.3,23.0,1.5,12,Beginner,7137.0,Paid,649
JavaScript: The Modern Engine Parts,"Master JavaScript Functions from Novice to Ninja by using the Modern JavaScript, including ES6 to ES9 features.",https://www.udemy.com/course/javascript-the-modern-engine-parts/,The Code WareHouse,4.1,22.0,5.5,31,Intermediate,7826.0,Paid,649
Web Development Introduction,"Intro to a modern web development workflow using Gulp, Node, npm, Bootstrap, Javascript, jQuery, Vue, React and more.",https://www.udemy.com/course/web-development-intro/,Scott Klink,4.5,22.0,7.0,43,Beginner,98.0,Paid,699
Deno For Web Developers,The comprehensive practical guide to Deno for web developers. Learn the core and build real world app.,https://www.udemy.com/course/deno-for-web-developers/,Simple Coder,4.2,22.0,23.5,205,All Levels,251.0,Paid,699
Angular 7 : Practical Guide [11 Hours],This practical course on Angular 7 (latest version) will help you become a better web application developer.,https://www.udemy.com/course/angular-the-ultimate-guide/,"Eduonix Learning Solutions, Arseniy Chernykh, Eduonix-Tech .",4.1,22.0,11.5,101,All Levels,295.0,Paid,649
AWS For C#/.NET Developers,Learn how to use AWS with C#/.NET and using AWSSDK.NET,https://www.udemy.com/course/aws-net-csharp-sdk/,Amr Swalha,4.1,22.0,2.5,39,All Levels,362.0,Paid,699
"Angular Material, Universal: A Rapid Guide - Advanced","Angular Universal, Angular Material, Frontend and Backend Filtering, Sort and Pagination",https://www.udemy.com/course/angular-influencer/,Antonio Papa,4.4,22.0,4.5,45,Intermediate,127.0,Paid,649
Mastering Unix : AWK Commands,Realtime data processing with many practical examples,https://www.udemy.com/course/mastering-unix-commands/,Testing World,3.7,22.0,2.0,23,All Levels,465.0,Paid,649
Advanced jQuery Tips & Tricks for Developers & Designers,Explore various tips and tricks to get the most out of jQuery when building web applications,https://www.udemy.com/course/advanced-jquery-tips-tricks-for-developers-designers/,SkillBakery Studio,3.9,22.0,3.5,38,All Levels,319.0,Paid,649
The 2019 Front End Web Development,Learn the Crucial of Web Development with Hands on!,https://www.udemy.com/course/webdevelopment2019/,Devansh Varshney,4.3,22.0,4.5,24,All Levels,846.0,Paid,599
Using Cycles Render Engine in Blender 3D,Take control of the ultra-realistic Cycles Render engine,https://www.udemy.com/course/using-cycles-render-engine-in-blender-3d/,Packt Publishing,4.2,22.0,3.0,22,Beginner,184.0,Paid,649
Building PHP RESTful Web Services,Learn to structure RESTful web services with Silex,https://www.udemy.com/course/building-php-restful-web-services/,Packt Publishing,3.5,22.0,3.5,27,Intermediate,104.0,Paid,649
Design Patterns with Java(Beginner to Advance),Discover the modern implementation of design patterns with #Java,https://www.udemy.com/course/design-patterns-with-java/,Ravi Kumar Singh,4.7,22.0,6.5,47,All Levels,8316.0,Paid,599
Master React JS with 10 Hands-On Projects,Master in React JS by building 10 projects with React Basics and Intermediate Concepts,https://www.udemy.com/course/master-react-js-with-10-hands-on-projects/,K.Sathyaprakash Reddy,4.3,22.0,6.0,39,Beginner,521.0,Paid,599
"Vue 3, NuxtJS and Golang: A Rapid Guide - Advanced","VueJS with Typescript, Nuxt.js, Vuetify, Golang, Docker, Redis, Stripe, Frontend & Backend Filtering, Gorutines,Channels",https://www.udemy.com/course/vue-go-advanced/,Antonio Papa,4.6,22.0,9.0,89,Intermediate,196.0,Paid,649
Learn jQuery Mobile from Scratch,Learn to develop cross platform apps with jQuery mobile and HTML5,https://www.udemy.com/course/learn-jquery-mobile-from-scratch/,"Eduonix Learning Solutions, Eduonix-Tech .",4.1,22.0,4.5,39,All Levels,184.0,Paid,749
Practical Liquid Markup Examples for Adobe Business Catalyst,Learn how to solve real-world problems using Liquid Markup for Business Catalyst. Courses come with usable code.,https://www.udemy.com/course/practical-liquid-markup-examples-for-adobe-business-catalyst/,"Scott Reynolds, Dave Haggblad",4.5,22.0,3.0,22,Intermediate,173.0,Paid,649
Build Websites And Apps By Outsourcing,Outsourcing Development Work: Learn My Proven System To Hire Freelance Developers And Reduce Your Technical Cost By 50%!,https://www.udemy.com/course/outsourcing-development-work/,Mike Cavaliere,4.5,22.0,2.0,22,All Levels,2424.0,Paid,599
Bootstrap from Basic to Advanced,The complete guide to learn Bootstrap with real-time examples,https://www.udemy.com/course/bootstrap-from-basic-to-advanced/,Sandeep Soni,4.3,22.0,6.5,27,Beginner,3096.0,Paid,599
Learn To Build Apps Using NodeJS and Angular,"Build a professional app driven by Restful API using Node, Angular and MongoDB",https://www.udemy.com/course/learn-to-build-apps-using-nodejs-and-angular/,"Eduonix Learning Solutions, Eduonix-Tech .",4.0,22.0,4.0,42,All Levels,234.0,Paid,649
What to learn to become a web developer?!,Find an answer to your question: live blog!,https://www.udemy.com/course/what-to-learn-to-become-a-web-developer/,Sofia Kostiunina,3.8,22.0,1.5,27,Beginner,2101.0,Paid,599
ASP.NET MVC for Beginners Step-by-Step,Entry-level web development using the ASP.NET MVC framework,https://www.udemy.com/course/aspnet-mvc-for-beginners-step-by-step/,Jason Bentley,4.3,22.0,2.5,32,Beginner,143.0,Paid,649
Building an App UI with PrimeFaces,"Create interactive, friendly and powerful UIs with PrimeFaces",https://www.udemy.com/course/building-an-app-ui-with-primefaces/,Packt Publishing,3.6,22.0,1.5,24,All Levels,200.0,Paid,749
The Fastest And Easiest Way To Learn Joomla 3 For Beginners,Learn the SECRETS of creating professional websites with Joomla WITHOUT knowing how to code. Skip ALL learning curves.,https://www.udemy.com/course/joomla-for-absolute-beginners/,Mathew Tamin,3.7,22.0,3.5,45,Beginner,769.0,Paid,649
Create PHP/AJAX Advanced Email Subscription Form in 40 Min,"Step-by-Step Subscription Newsletter Form with Database, Validation, Email Notification, IP Tracking | AJAX,jQuery,PHP",https://www.udemy.com/course/php-ajax-form-with-validation-email-ip-tracking-in-40-minutes/,ZEESHAN ARSHAD,4.3,22.0,0.6,19,All Levels,1263.0,Paid,749
"Multilingual CMS Website with PHP, MySQL, jQuery","Learn how to build a Multilingual Content Management System with PHP, MySQL and jQuery.",https://www.udemy.com/course/multilingual-cms/,Sebastian Sulinski,3.9,22.0,9.5,150,All Levels,166.0,Paid,799
Building a Responsive Application with Bootstrap,Create stunning web pages with intricate designs for mobiles and the web using Bootstrap,https://www.udemy.com/course/building-a-responsive-application-with-bootstrap/,Packt Publishing,4.0,22.0,3.0,18,Expert,130.0,Paid,649
Themeforest Wordpress Theme Development With Option Panel,wordpress theme development course basic to advance using bootstrap.,https://www.udemy.com/course/themeforest-wordpress-theme-development-with-option-panel/,MUHAMMAD AMAAN,3.6,22.0,7.0,75,All Levels,184.0,Paid,599
RESTful Web Services with Java in less than a month!,Create RESTful Web Services using Java's JAX-RS specification,https://www.udemy.com/course/restful-web-services-with-java-in-less-than-a-month/,Esteban Rincon,3.9,22.0,4.0,26,Beginner,125.0,Paid,649
Replacing jQuery with Vanilla JavaScript,"Vanilla JS instead of an additional 30 kB from jQuery, DOM API, modern browsers, Babel, polyfills, fetch, Promise",https://www.udemy.com/course/not-jquery/,Mateusz Chrzonstowski,4.2,22.0,5.0,65,Intermediate,10937.0,Paid,599
jQuery for Beginner to Advanced : 12 Projects included,Learn to create some amazing jQuery effects and animations practically,https://www.udemy.com/course/jquery-for-beginner-to-advanced-12-projects-included/,Sandip Bhattacharya,4.3,22.0,2.0,17,All Levels,3075.0,Paid,649
Bootstrap Responsive Design,"Design for mobile, tablet and desktop screens with ease!",https://www.udemy.com/course/bootstrap-responsive-design/,Framework Tech Media,4.8,22.0,3.0,43,Beginner,185.0,Paid,699
RESTful Web API Design with Node.js - Second Edition,Explore the practical side of REST to build data-centric applications with Node,https://www.udemy.com/course/restful-web-api-design-with-nodejs-second-edition/,Packt Publishing,3.6,22.0,2.5,27,Expert,176.0,Paid,699
A robust blog application with PHP(OOP) and MySQL,PHP Project based course : For those who aspire to be a web application developer . Learn to make from scratch with OOP.,https://www.udemy.com/course/make-a-robust-blog-application-with-phpoop-and-mysql/,Ranjeet Karki,4.3,22.0,5.0,39,All Levels,860.0,Paid,599
Webflow For Beginners Part II: Progress Your Webflow Skills,"My second Webflow course focuses on creating common sections, elements and animations in Webflow aimed at beginners.",https://www.udemy.com/course/webflow-for-beginners-part-ii-progress-your-webflow-skills/,Sam Harrison,4.7,22.0,5.5,37,Beginner,241.0,Paid,649
Sara Learns to Code.  Making an App from Scratch,Complete beginners' course for learning how to get your tech startup online.,https://www.udemy.com/course/sara-learns-to-code-making-an-app-from-scratch/,"Sara Jean Underwood, Stephanie Elizabeth",4.0,22.0,4.0,35,Beginner,439.0,Paid,749
Create Websites and Hybrid APPs with Google Material Design,Building a Website and Cordova APP using Google Material Design Lite Framework,https://www.udemy.com/course/create-material-designed-websites-and-hybrid-apps/,QScutter Tutorials,3.9,22.0,3.0,55,All Levels,195.0,Paid,599
Learn Java with NetBeans!,Triple your skills: Learn Java + NetBeans + Basic Debugging,https://www.udemy.com/course/learnjavawithnetbeans/,"E Learning Lab, Jess Nault",4.0,22.0,8.5,57,Beginner,346.0,Paid,2450
PHP and MySQL beginner to developer - 2 projects included,To the point PHP & MySQL course for beginners and people wanting to learn how to create dynamic web apps with php/mysql.,https://www.udemy.com/course/php-and-mysql-beginner-to-developer-2-projects-included/,Fast & Easy Programming,4.2,22.0,6.5,76,All Levels,110.0,Paid,599
Multithreading in Java with Completable Futures,Learn Java 8 Multithreading with Completable futures to write efficient and performant code.,https://www.udemy.com/course/multithreading-in-java-with-completable-futures/,Jayesh Nachnani,4.0,22.0,4.0,76,Intermediate,156.0,Paid,749
Laravel Full Stack Project Bootcamp 2021 - beginners to pro,Learn to build a job recruitment and HR management portal step-by-step just like laracast laravel tutorial,https://www.udemy.com/course/laravel-6-full-course-build-a-job-hr-management-portal/,Dave Partner,2.9,22.0,10.5,52,All Levels,1121.0,Paid,649
Build Real Time Web Chat App with React & Firebase Firestore,"Create Full Stack Chat Application with Firestore ReactJs & Semantic UI React.js - Facebook Messenger, WhatsApp Chat App",https://www.udemy.com/course/build-real-time-web-chat-app-with-react-firebase-firestore/,Coding Cafe,4.0,22.0,6.5,18,All Levels,138.0,Paid,599
Web Application Technology Stack,Understanding Web Application Technologies,https://www.udemy.com/course/web-application-development-technology-stack/,Ebenezer Ogbu,3.7,22.0,3.5,7,Beginner,3885.0,Paid,649
Blog Creation with Google Blogger Template & Basic WordPress,Complete beginners class on blog creation using Google Blogger Template and basic WordPress for absolute beginners,https://www.udemy.com/course/blog-creation-with-google-blogger-template-basic-wordpress/,"Emenwa Global, Zoolord Academy",3.1,22.0,3.0,24,Beginner,5430.0,Paid,649
Kentico 12 MVC,"How to build a website using Kentico 12 MVC (Installation, Configuration & Development)",https://www.udemy.com/course/kentico-12-mvc/,Sanjin Tahirović,2.9,22.0,0.7,5,Intermediate,59.0,Paid,599
The All-In-One Web Development Course,"Everything you need to know, all in one place",https://www.udemy.com/course/the-all-in-one-web-development-course/,Nauman Sajid,4.1,22.0,18.5,113,All Levels,578.0,Paid,649
Canvas image Creator HTML5 JavaScript project from Scratch,HTML5 JavaScript Jquery project from scratch learn by example.  Step by step awesome application built from Scratch,https://www.udemy.com/course/canvas-image-maker-html5-javascript-project-from-scratch/,Laurence Svekis,3.9,22.0,3.5,37,Intermediate,2424.0,Paid,699
SQL Developer Skills For Beginners,Learn SQL Developer Skills,https://www.udemy.com/course/sql-developer-skills-for-beginners/,Bluelime Learning Solutions,4.1,22.0,5.5,47,Beginner,103.0,Paid,649
Oracle ADF 12c Light Course for Certification (1Z0-419 Exam),Get Oracle ADF 12c Certified and pass 1Z0-419 exam,https://www.udemy.com/course/oracle-adf-12c-light-course-for-certification/,Sameh Nassar,4.1,22.0,7.0,54,All Levels,110.0,Paid,649
Learn Google Maps JavaScript API,"The complete course of Google Maps JavaScript API, from beginning to expert",https://www.udemy.com/course/learn-google-maps-javascript-api/,Aniston Bradly,3.4,22.0,1.5,32,All Levels,344.0,Paid,599
ASP.NET MVC Crash Course™ 2020 - Hands-on ASP.NET MVC,Learn web development with ASP.NET MVC fast with practical and in-depth utilization of MVC like a pro & Much more,https://www.udemy.com/course/aspnet-mvc-crash-course/,Apex Education,3.2,22.0,2.0,8,All Levels,2792.0,Paid,599
"Master Fullstack - React, Fastify Node.js, Postgresql & TDD","Build Your First Full Stack Application With React, NodeJS & Postgresql. Learn How To Do TDD With NodeJS and React",https://www.udemy.com/course/fullstack-project-react-fastify-nodejs-postgresql-tdd/,Vikas kumar,4.5,22.0,19.5,107,All Levels,221.0,Paid,649
Practical MongoDB with PHP Project - Learn By Doing,Develop MongoDB and PHP skills by building Object Oriented E-commerce Website from Scratch (read description of content),https://www.udemy.com/course/mongodb-with-php-build-oop-website-prepare-for-the-future/,Stan Silviu Valentin,4.2,22.0,13.5,166,All Levels,1918.0,Paid,599
"Get A Web Developer Job - The Tips, Tricks & Tech Revealed",Get the Web Developer Job you Always Wanted! Learn the Secrets & Tech to Succeed - Includes free Portfolio and Resume!,https://www.udemy.com/course/get-a-web-dev-job/,James Bedford,3.7,22.0,2.5,40,All Levels,1115.0,Paid,699
Create a Basic Real-Time Chat App with Angular4 and Firebase,Learn Angular4 and Firebase by creating a real-time chat app from scratch,https://www.udemy.com/course/create-a-basic-real-time-chat-app-with-angular4-and-firebase/,Bluelime Learning Solutions,3.4,22.0,5.0,55,Beginner,1722.0,Paid,749
How to Build Your Own Website with WordPress: A Step-by-Step Guide ,A-Z guide of how to set up your own website using WordPress.,https://www.udemy.com/course/build-your-own-website-with-wordpress-a-step-by-step-guide/,MindMekka ®,4.6,22.0,6.0,56,All Levels,4713.0,Paid,649
Building a eCommerce Website from Scratch,Start Selling Your Products Worldwide,https://www.udemy.com/course/building-a-e-commerce-website-from-scratch/,QScutter Tutorials,3.6,22.0,9.5,58,All Levels,301.0,Paid,599
JavaScript Game Create a  flying bird game fun learn DOM,Use JavaScript connect with Elements and create a game while practicing learning JavaScript and Document Object Model,https://www.udemy.com/course/learn-javascript-game-course/,Laurence Svekis,4.4,22.0,1.5,30,All Levels,4049.0,Paid,699
How to create Really Profesional Free website on Blogger,Start now and create your website in less than a day.,https://www.udemy.com/course/how-to-create-really-professional-free-website-on-blogger/,Toms Kleinšmits,4.2,22.0,0.5,9,All Levels,2484.0,Paid,599
Full Stack App Development with Spring 5 and Angular: 3-in-1,Build amazingly beautiful apps combining the power of two hottest frameworks Angular 6 with Spring 5!,https://www.udemy.com/course/full-stack-app-development-with-spring-5-and-angular-3-in-1/,Packt Publishing,3.7,22.0,8.5,82,Intermediate,165.0,Paid,649
The Fundamentals of Web Front-End Development,HTML + CSS + BootStrap + JavaScript + JQuery to get you on the road of modern frontend design,https://www.udemy.com/course/crashing-course-for-web-front-end-development/,Le Deng,4.1,22.0,5.5,37,All Levels,100.0,Paid,599
"Vue 3, Nuxt.js and Django: A Rapid Guide - Advanced","VueJS with Typescript, Nuxt.js, Vuetify, Composition API, DRF 3.1, Docker, Redis, Stripe, Frontend & Backend Filtering",https://www.udemy.com/course/vue-django-advanced/,Antonio Papa,4.7,22.0,8.0,85,Intermediate,203.0,Paid,799
Using Clean architecture for Node.js API,Clean architecture Node.js + Express.js + MongoDB Bootcamp,https://www.udemy.com/course/nodejs-api-with-clean-architecture/,Michael Kibenko,3.9,22.0,8.5,89,Beginner,216.0,Paid,649
Learn to Create Professional Websites from a Kid,"A whole course teaching HTML, CSS, Bootstrap, Wordpress, Canva, Python and Weebly from scratch",https://www.udemy.com/course/the-complete-course-from-a-kid/,"Tech Force, Tech Force",4.0,21.0,4.0,55,All Levels,871.0,Paid,599
Getting Started with TypeScript,Take you coding to the next level with Typescript.,https://www.udemy.com/course/getting-started-with-typescript-h/,Coding Revolution,4.5,21.0,13.5,145,All Levels,196.0,Paid,599
ECMAScript 6: Learn the most efficient way out in Javascript,Javascript: Describing all the ES6 concepts – be it complex ES6 or simple Javascript – in a very comfortable ES6 way.,https://www.udemy.com/course/ecmascript-six/,Piyush Srivastava,4.2,21.0,6.5,48,All Levels,457.0,Paid,749
"Build A TodoList with Go (Golang), Fiber and React","Learn to build a Full Stack Go, Fiber and React Application in No Time",https://www.udemy.com/course/build-a-todolist-with-go-golang-fiber-and-react/,CodeBrains.IO Tech Training,4.5,21.0,2.0,25,Beginner,5243.0,Paid,749
HTML & CSS - Learn to build sleek websites ,"Level up your coding skills and create beautiful, responsive and accessible websites. Easy, fun and effective",https://www.udemy.com/course/html-css-learn-to-build-sleek-websites/,Sandra L,4.6,21.0,3.5,44,All Levels,1573.0,Paid,699
Javascript in Hindi||Urdu,learn modern javascript,https://www.udemy.com/course/javascript-basics-in-hindiurdu/,Kushal Koirala,3.0,21.0,2.0,17,All Levels,984.0,Paid,599
LEARNING PATH: Electron: App Development with Electron,"Efficiently build, package, and distribute your Electron applications",https://www.udemy.com/course/learning-path-electron-app-development-with-electron/,Packt Publishing,3.5,21.0,6.0,55,Intermediate,295.0,Paid,649
Gatsby JS Developer's Guide - Important Parts & Blog App,Learn popular Gatsby JS(Gatsby v3) framework. Use React/GraphQL to build your own blog page with JAMStack architecture.,https://www.udemy.com/course/gatsby-js-developers-guide-important-parts-blog-app/,"Eincode by Filip Jerga, Filip Jerga",4.8,21.0,12.0,99,All Levels,310.0,Paid,749
"Learn HTML, CSS and Bootstrap: 3 Courses in 1",Learn HTML & CSS Basics and Create Complete Websites using Bootstrap,https://www.udemy.com/course/learn-html-css-and-bootstrap-3-courses-in-1/,Ahmed Magdy,4.6,21.0,2.5,39,Beginner,1513.0,Paid,649
ASP.NET Core Identity - User Security Essentials,We take a deep dive into Identity for ASP.NET Core (.NET 5 and up) and authentication and authorization best practices,https://www.udemy.com/course/aspnet-core-identity-authentication-and-authorization/,Trevoir Williams,4.7,21.0,5.0,41,All Levels,2000.0,Paid,649
Svelte for Beginners,Learn the basic fundamentals of a JavaScript framework with Svelte,https://www.udemy.com/course/svelte-for-beginners/,Mike Karan,4.3,21.0,2.0,16,Beginner,132.0,Paid,599
Building a Single Page Web Application with KnockoutJS,Create a complete and structured single page application by doing more with less code ,https://www.udemy.com/course/building-a-single-page-web-application-with-knockoutjs/,Packt Publishing,3.5,21.0,2.0,33,All Levels,150.0,Paid,649
